measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,1,Number,2005,307331.67717155395,337747.82658560947,278768.8866
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,1,Number,2005,828801.2350107653,910040.4415313083,754468.9684355091
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,2,Percent,2005,0.000249998,0.000280766,0.00022222
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,2,Percent,2005,0.000146915,0.000164587,0.000131653
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,2,Percent,2005,0.00019838,0.000222762,0.000177728
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,3,Rate,2005,78.64270297,86.30918186,71.54289551
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,3,Rate,2005,48.80084131,53.63058648,44.26538885
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,3,Rate,2005,64.10631916,70.39002903,58.356848955589996
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,1,Number,2006,518968.0485266548,571947.1709328596,471220.96200461936
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,1,Number,2006,302131.8166487135,332909.00803825306,273841.9098359174
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,1,Number,2006,821099.8651753681,902059.9776780878,746641.6761298453
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,2,Percent,2006,0.000248986,0.00027976,0.000221833
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,2,Percent,2006,0.000144296,0.000162426,0.000129356
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,2,Percent,2006,0.000196519,0.000221402,0.000176028
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,3,Rate,2006,77.82023416,85.76455313,70.66046881
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,3,Rate,2006,47.62132306,52.47235328,43.16233292
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,3,Rate,2006,63.097115467319995,69.31846537,57.37540347
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,1,Number,2007,518153.4634027756,571182.0471,469665.4144178652
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,1,Number,2007,298276.91824944114,329679.3492967667,269605.98705595813
